building_id,name,state,city,latitude,longitude,roof_area_sqft,roof_over_100k,annual_rain_inches,annual_capture_gallons,cooling_tower_score,cooling_confidence,cooling_degree_days_score,building_type_score,facility_score,water_cost_score,state_policy_score,local_incentive_score,improvement_value_score,flood_score,water_stress_score,esg_score,leed_score,energy_star_score,base_viability_score,final_viability_score,opportunity_type,explanation
bldg-001,Texas Medical Center — West Pavilion,Texas,Houston,29.7069,-95.3985,185000,true,49.8,5724510,0.92,0.88,0.85,0.80,0.70,0.65,0.72,0.55,0.78,0.90,0.60,0.75,0.80,0.70,0.79,79,Cooling-Demand-Driven,Large medical complex with high cooling demand
bldg-002,Lone Star Industrial Park — Building A,Texas,San Antonio,29.4241,-98.4936,220000,true,33.5,4578600,0.45,0.35,0.82,0.70,0.85,0.72,0.72,0.60,0.65,0.40,0.88,0.30,0.00,0.00,0.63,55,Rainfall-Driven,Massive industrial roof in a water-stressed area
bldg-003,Georgia-Pacific Plaza,Georgia,Atlanta,33.7588,-84.3880,95000,false,50.2,2962310,0.88,0.92,0.72,0.75,0.40,0.58,0.45,0.40,0.82,0.55,0.65,0.85,0.90,0.85,0.72,72,Cooling-Demand-Driven,High-confidence cooling tower in high-rainfall city
bldg-004,Phoenix Semiconductor Fab,Arizona,Chandler,33.3062,-111.8413,310000,true,8.2,1578920,0.95,0.95,0.98,0.90,0.95,0.88,0.35,0.25,0.90,0.20,0.95,0.65,0.40,0.60,0.76,76,Cooling-Demand-Driven,Extreme cooling demand in arid climate with massive roof
bldg-005,Miami Convention Center,Florida,Miami Beach,25.7953,-80.1340,145000,true,61.9,5576050,0.70,0.62,0.90,0.65,0.35,0.50,0.55,0.65,0.72,0.95,0.45,0.50,0.70,0.55,0.66,64,Resilience-Driven,Extremely high flood risk makes stormwater capture essential
bldg-006,Raleigh Data Center Campus,North Carolina,Raleigh,35.7796,-78.6382,175000,true,46.1,5012175,0.98,0.96,0.68,0.92,0.88,0.55,0.50,0.35,0.85,0.45,0.50,0.90,0.85,0.80,0.77,77,Cooling-Demand-Driven,Data centers have extreme cooling needs
bldg-007,Denver Federal Center — Building 67,Colorado,Lakewood,39.7162,-105.1139,88000,false,15.6,852720,0.40,0.45,0.45,0.60,0.50,0.70,0.80,0.75,0.55,0.35,0.82,0.60,0.50,0.45,0.58,54,Balanced Opportunity,Colorado strong rainwater policy and high water stress
bldg-008,Gulf Coast Refinery Support Complex,Louisiana,Baton Rouge,30.4515,-91.1871,260000,true,60.1,9704260,0.82,0.78,0.80,0.75,0.92,0.48,0.30,0.20,0.60,0.92,0.35,0.40,0.00,0.00,0.65,63,Resilience-Driven,Massive roof in high-rainfall high-flood-risk zone
bldg-009,Austin Tech Campus — Main Building,Texas,Austin,30.2672,-97.7431,130000,true,34.2,2762460,0.75,0.70,0.78,0.82,0.55,0.75,0.72,0.68,0.70,0.60,0.78,0.88,0.85,0.75,0.74,72,Balanced Opportunity,Well-rounded candidate with strong ESG commitment
bldg-010,Carolina Textile Mill — Warehouse District,North Carolina,Charlotte,35.2271,-80.8431,195000,true,43.3,5247015,0.55,0.50,0.65,0.68,0.72,0.60,0.50,0.42,0.48,0.70,0.55,0.35,0.00,0.20,0.58,54,Rainfall-Driven,Large industrial roof with good rainfall potential
bldg-011,Dallas Distribution Hub,Texas,Dallas,32.7767,-96.7970,340000,true,37.6,7937760,0.60,0.55,0.88,0.72,0.80,0.68,0.72,0.58,0.62,0.50,0.75,0.42,0.10,0.30,0.66,66,Rainfall-Driven,Massive distribution warehouse with enormous catchment
bldg-012,Tampa Bay Industrial Complex,Florida,Tampa,27.9506,-82.4572,210000,true,46.3,6039930,0.78,0.72,0.85,0.70,0.65,0.55,0.55,0.50,0.68,0.88,0.40,0.55,0.60,0.50,0.67,67,Resilience-Driven,Hurricane-prone area benefits from stormwater management
bldg-013,Silicon Hills Office Park,Texas,Austin,30.3500,-97.7500,105000,true,34.2,2231010,0.65,0.58,0.78,0.85,0.45,0.75,0.72,0.70,0.75,0.55,0.78,0.92,0.90,0.88,0.73,73,Balanced Opportunity,Tech campus with exceptional sustainability credentials
bldg-014,Savannah Port Warehouse,Georgia,Savannah,32.0809,-81.0912,280000,true,49.6,8626880,0.42,0.38,0.75,0.65,0.88,0.52,0.45,0.35,0.55,0.85,0.48,0.28,0.00,0.15,0.59,59,Rainfall-Driven,Port warehouse with massive roof and high rainfall
bldg-015,Tucson Solar Manufacturing Plant,Arizona,Tucson,32.2226,-110.9747,240000,true,12.0,1789200,0.90,0.88,0.96,0.88,0.92,0.85,0.35,0.30,0.82,0.15,0.97,0.70,0.50,0.65,0.75,75,Cooling-Demand-Driven,Extreme water stress makes every gallon valuable
